Marko;61;10;20;2021-05-06 23:32:31
Lammas all paremal nurgas;11;10;17;2021-05-08 21:33:01
Pettur;11;12;17;2021-05-08 21:54:10
Pettur;11;10;18;2021-05-08 22:00:15
Piettur :);15;13;18;2021-05-10 23:37:09
Pettur;35;10;24;2021-05-10 23:41:06
MIda;13;10;18;2021-05-10 23:42:41
Keda;25;10;19;2021-05-10 23:43:02
Hiiglama suur laud;56;15;45;2021-05-10 23:54:45
Test1;16;10;19;2021-05-14 14:56:28
Test2;14;14;19;2021-05-14 15:27:49
Test3;27;14;20;2021-05-14 15:36:12
Test2;11;10;18;2021-05-14 16:39:07
Test;90;10;85;2021-06-02 11:31:58
